name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 08:07:20 +0000,d642713a-f490-4829-941b-ad0337c167b9,2021-05-30T08:38:41.177Z,2021-05-30T08:53:37.104Z,completed,completed normal,23.56032288,0.826925015,2.974342964,48.42774649,5413.86859,1210.556004,456.8448025,24705447.22,327.9057468,528.7337348,763,3843811.62,142952.38,24705450,26184458.33,1366,2926684.52,2129,1341
API Generated 2021-05-30 02:57:06 +0000,18487363-89a0-449e-8832-d5dc33f97cf1,2021-05-30T03:28:53.104Z,2021-05-30T03:43:54.871Z,completed,completed normal,29.28750276,0.856969243,2.56650269,49.74863019,7075.709616,435.4091473,454.8363691,23410163.89,831.2545743,2436.691579,765,3396060.19,133761,23410165.28,26194569.44,1371,2666634.14,2136,1341
API Generated 2021-05-30 05:32:57 +0000,6595f769-bcd9-4a4a-8ecb-e5e53d263358,2021-05-30T05:32:57.848Z,2021-05-30T05:48:57.388Z,completed,completed normal,24.66369878,0.635541688,3.384821325,48.36761728,5597.938982,1245.519081,573.6039729,25333183.33,348.6290282,542.7722458,761,3956550.54,143896.63,25333184.44,26189313.89,1399,3004515.95,2160,1337
API Generated 2021-05-30 04:14:46 +0000,eb031430-7395-4d19-88e7-cc034e7a83a5,2021-05-30T04:31:56.835Z,2021-05-30T04:47:29.466Z,completed,completed normal,23.48906403,0.284761118,1.664987824,49.81490402,3555.509537,990.5910164,672.5601446,22020219.44,195.7786091,258.1675842,765,3315084,132816.36,22020218.89,26205433.33,1378,2598663.13,2143,1337
API Generated 2021-05-30 05:32:57 +0000,751af9ad-875d-4e29-96de-3288bc7425e8,2021-05-30T05:33:01.897Z,2021-05-30T05:48:50.843Z,completed,completed normal,25.42475429,0.746103829,1.790316923,45.40547345,6059.168922,1020.889743,796.3639773,21057902.78,266.6414665,351.6123828,765,3262853.79,126317.21,21057904.44,26207116.67,1341,2529054.11,2106,1340
API Generated 2021-05-30 06:50:13 +0000,4ee476f0-394a-47e8-9332-7dd0ec8ca026,2021-05-30T06:50:14.631Z,2021-05-30T07:06:39.750Z,completed,completed normal,27.36957509,0.636356464,3.342371714,48.97717259,7895.060309,799.6980478,222.6660615,24915788.89,1246.181644,4920.705115,764,3475900.04,139726.49,24915786.11,26201422.22,1347,2735797.5,2111,1334
API Generated 2021-05-30 05:48:57 +0000,c44a868c-cd51-4154-876f-3a34d58693c1,2021-05-30T06:32:56.703Z,2021-05-30T06:47:31.102Z,completed,completed normal,22.58769376,0.576971925,1.039226231,47.29075399,7415.6021,1257.660737,781.4130353,20543708.33,95.353863,125.7403787,766,3096088.7,127453.72,20543709.44,26197986.11,1343,2435636.01,2109,1344
API Generated 2021-05-30 09:24:11 +0000,bee8316b-a507-4638-92fa-37643acef8f3,2021-05-30T09:40:14.161Z,2021-05-30T09:55:51.452Z,completed,completed normal,29.05147636,0.829909235,3.345436124,49.11768457,2817.118574,1484.218193,820.7007522,24721011.11,141.9816129,187.2270427,764,3872501.07,136998.09,24721011.67,26194275,1357,2950322.18,2121,1343
API Generated 2021-05-30 05:32:57 +0000,0d840cef-2d29-4d16-a3df-735c62bf4ab0,2021-05-30T06:04:14.588Z,2021-05-30T06:19:20.554Z,completed,completed normal,22.28286923,0.416567805,3.249448926,49.70003184,3978.717398,521.2650563,431.1125536,25232711.11,1646.930809,2171.759981,763,3754754.35,146133.15,25232711.11,26195388.89,1353,2977229.78,2116,1340
API Generated 2021-05-30 01:38:05 +0000,0f30d61d-56e1-419a-b64d-51d4eedb2018,2021-05-30T02:22:30.395Z,2021-05-30T02:37:09.601Z,completed,completed normal,29.85368776,0.267960408,1.664987824,49.81490402,3673.188108,1446.427819,616.8093566,21669475,55.80661169,73.59056329,765,3286539.98,128727.13,21669476.11,26192880.56,1376,2549900.61,2141,1345
API Generated 2021-05-30 06:50:13 +0000,d2c2eefc-9430-4e63-9cb3-db4750d17e71,2021-05-30T07:37:22.966Z,2021-05-30T07:52:04.009Z,completed,completed normal,29.71224097,0.566082756,3.731207978,43.58143937,3304.922598,1641.382189,638.0002623,24177975,33.62383745,44.33878107,770,4003797.9,134022.55,24177976.67,26234341.67,1331,2989531.18,2101,1335
API Generated 2021-05-30 04:14:46 +0000,d6ec0c29-8600-4d27-8d49-8c841c12d295,2021-05-30T05:03:33.762Z,2021-05-30T05:17:45.379Z,completed,completed normal,23.42733778,0.474918927,1.925336971,43.53108745,2820.186868,1149.441003,651.0592587,21739702.78,382.233147,504.0397856,764,3343885.89,130961.83,21739705.28,26222755.56,1336,2586928.87,2100,1335
API Generated 2021-05-30 08:07:20 +0000,1a70e1c0-e9e4-4ee4-8dd9-e66754ed5ea5,2021-05-30T08:23:29.773Z,2021-05-30T08:38:41.012Z,completed,completed normal,23.75163012,0.964852273,1.987870043,49.4973239,7510.198855,1445.175829,287.2918141,22730513.89,205.2503992,458.2233817,764,3443390.25,135679.85,22730513.61,26196025,1384,2681451.02,2148,1339
API Generated 2021-05-30 01:38:05 +0000,8c7c7d72-8cae-4fd0-9d1c-9a7ca396704a,2021-05-30T01:38:09.882Z,2021-05-30T01:53:29.009Z,completed,completed normal,23.46830259,0.419301283,1.582920099,43.26244651,5963.633439,1506.632234,249.7445161,20866791.67,560.6209736,739.2746484,764,3169542.93,125964.29,20866792.78,26223838.89,1356,2469962.76,2120,1337
API Generated 2021-05-30 02:57:05 +0000,487d3241-0c00-4fdf-bc9f-7d0d165e93c2,2021-05-30T02:57:08.872Z,2021-05-30T03:12:39.357Z,completed,completed normal,20.33405099,0.648977251,2.320143155,40.02172719,7558.659335,1320.938276,278.0174347,22174550,1484.708022,1957.841487,764,3415830.91,132080.53,22174551.67,26248061.11,1314,2637170.17,2078,1338
API Generated 2021-05-30 01:38:05 +0000,1751cf24-ef30-4b32-838d-69a0e8f3b6ac,2021-05-30T02:09:09.040Z,2021-05-30T02:24:30.164Z,completed,completed normal,26.54355118,0.8223752,1.74784979,44.18404053,6592.310963,652.3539567,720.6478757,20892858.33,294.7567964,388.6872544,765,3164951.23,124999.72,20892861.11,26228616.67,1348,2465566.35,2113,1335
API Generated 2021-05-30 05:32:57 +0000,1a5cd71f-fabe-42d9-bd7d-a1a61fb6d2d6,2021-05-30T05:49:10.394Z,2021-05-30T06:04:35.726Z,completed,completed normal,25.26303608,0.502679055,3.146875046,48.53203369,6244.850833,989.4264555,547.1649879,24834825,835.5672766,1101.838379,763,3744241.27,141827.92,24834825.56,26181558.33,1353,2879099.55,2116,1344
API Generated 2021-05-30 04:14:46 +0000,82b53dbe-ab7f-4740-9d45-7851088c0051,2021-05-30T04:14:49.298Z,2021-05-30T04:31:56.691Z,completed,completed normal,26.36943108,0.485943937,2.493685981,40.10231706,7586.597854,1175.121881,584.3095142,22026313.89,544.4497443,717.9501165,765,3454763.17,128274.26,22026315.28,26248977.78,1317,2649669.77,2082,1339
API Generated 2021-05-30 04:14:46 +0000,550f3ada-11d1-41aa-9d31-85c02e6d47f2,2021-05-30T04:14:49.829Z,2021-05-30T04:32:15.667Z,completed,completed normal,24.13446305,0.223761048,1.0361766,41.22761862,4073.729008,568.1318255,412.466034,19932725,441.9514856,1290.151266,764,2925001.36,122435.41,19932727.22,26250436.11,1461,2303640.57,2225,1515
API Generated 2021-05-30 04:14:46 +0000,14e1cf98-6e96-4885-93ae-2fbd165b7367,2021-05-30T05:14:46.588Z,2021-05-30T05:28:56.780Z,completed,completed normal,27.18515545,0.370276931,1.636045347,40.48845018,5405.72509,608.5533579,454.8661669,20796616.67,362.610622,1000.801981,762,3094103.25,124575.58,20796617.22,26248683.33,1332,2434216.48,2094,1335
API Generated 2021-05-30 09:24:10 +0000,187724cd-315d-4eff-9722-2fe2a3f3efbc,2021-05-30T09:24:13.246Z,2021-05-30T09:40:36.056Z,completed,completed normal,20.26306209,0.375539083,0.818696954,46.25722683,2662.575766,568.1692255,486.8948111,19667802.78,364.9404938,1066.38484,764,2871102.15,123854.39,19667804.72,26203850,1373,2276477.01,2137,1374
API Generated 2021-05-30 05:32:57 +0000,3f8dbaf4-eca5-46f8-a7c8-83e1fe398abd,2021-05-30T05:50:03.388Z,2021-05-30T06:04:47.790Z,completed,completed normal,29.22067463,0.97108899,2.329720115,45.95565672,7848.657456,1555.713386,820.4047347,21946958.33,51.53590106,67.95890082,764,3468728.83,126768.49,21946956.11,26208825,1344,2662340.75,2108,1336
API Generated 2021-05-30 05:32:57 +0000,431f272c-ba64-49f2-96aa-9d83bfd3f55c,2021-05-30T06:04:47.953Z,2021-05-30T06:19:58.337Z,completed,completed normal,23.55626869,0.409079617,3.604517198,48.0894961,6801.822493,900.9983977,416.0139611,25837533.33,1482.067911,1954.36005,764,3905841.17,146854.17,25837535.56,26181283.33,1369,3063691.96,2133,1337
API Generated 2021-05-30 01:38:05 +0000,5cbc8afa-04d2-4ef9-9011-718d5530010d,2021-05-30T01:38:08.915Z,2021-05-30T01:54:57.301Z,completed,completed normal,20.92292674,0.987422636,0.495207059,49.70368931,4252.566956,619.6296834,510.2235655,19175402.78,306.918019,704.7586398,763,2792784.57,123398.78,19175403.33,26195122.22,1386,2212763.7,2149,1341
API Generated 2021-05-30 04:14:46 +0000,cacc09ad-d857-40f5-87ad-1f00e499cc7e,2021-05-30T05:01:01.678Z,2021-05-30T05:15:29.084Z,completed,completed normal,29.81855285,0.782613164,3.657132548,44.9228375,1749.637617,1639.050264,687.0190114,24226525,26.65236693,35.14570471,764,3985213.03,134499.7,24226523.89,26215708.33,1308,2991091.86,2072,1341
API Generated 2021-05-30 05:32:57 +0000,adc1900f-da07-4b14-a824-a75f6c41f897,2021-05-30T05:48:56.793Z,2021-05-30T06:04:08.094Z,completed,completed normal,28.42640332,0.83493007,3.936560644,42.29153223,7783.743696,1517.083798,400.9993508,23927266.67,510.6914492,673.4340299,763,3915762.19,132068.36,23927267.78,26232533.33,1324,2917711.89,2087,1335
API Generated 2021-05-30 08:07:20 +0000,4916dc0e-db59-4a77-a09f-6e60a0873076,2021-05-30T08:07:23.909Z,2021-05-30T08:22:51.184Z,completed,completed normal,23.62338808,0.648831723,1.087123433,42.35838791,3613.899511,1405.141959,823.241181,20013247.22,52.66751761,69.4511308,765,3065444.49,123652.92,20013248.89,26224458.33,1336,2400714.8,2101,1336
API Generated 2021-05-30 08:07:20 +0000,8e6def14-7a33-43d9-8042-0ee75b330255,2021-05-30T08:07:22.650Z,2021-05-30T08:24:55.404Z,completed,completed normal,20.53732941,0.306885867,0.201225633,45.38749207,1587.651188,473.3088126,385.0467588,18397211.11,459.3016414,1213.861031,763,2645022.99,118647.84,18397211.11,26166597.22,1968,2104278.7,2731,2421
API Generated 2021-05-30 09:24:11 +0000,482e6b35-f191-48ee-9fa5-afff3045074c,2021-05-30T09:24:16.113Z,2021-05-30T09:40:45.163Z,completed,completed normal,21.27043164,0.775286086,1.631564442,47.05417377,2220.681315,1210.179932,590.6787814,22079147.22,173.3017132,228.5279523,763,3342016.18,133292.71,22079147.22,26192400,1360,2617696.89,2123,1339
API Generated 2021-05-30 04:14:46 +0000,a0770ff8-de74-4fd0-af7d-9f6727a863dd,2021-05-30T04:14:50.097Z,2021-05-30T04:31:36.354Z,completed,completed normal,24.18664663,0.79504545,1.406611699,45.54335675,5895.666475,714.0332885,544.9971609,20578625,522.1738203,688.5755004,764,3088680.55,125095.7,20578623.06,26202005.56,1354,2442799.5,2118,1340
API Generated 2021-05-30 01:38:05 +0000,7f12a50b-9096-4b30-a410-5fe7577807aa,2021-05-30T02:25:04.093Z,2021-05-30T02:39:29.161Z,completed,completed normal,26.82977092,0.658476458,2.919048942,40.40821268,2950.522359,836.3214321,376.8199943,23154358.33,990.6858928,1306.388807,766,3553505.05,133475.37,23154358.61,26249122.22,1311,2739449.99,2077,1335
API Generated 2021-05-30 02:57:06 +0000,4089cb49-1bd5-45b8-b435-409430db390a,2021-05-30T03:44:05.539Z,2021-05-30T03:58:45.240Z,completed,completed normal,27.91013687,0.976552875,0.993482479,47.65215136,7220.360665,1328.319276,719.1462465,20243472.22,96.1361225,126.7719217,763,2986742.44,125011.97,20243473.06,26195177.78,1334,2329545.12,2097,1344
API Generated 2021-05-30 09:24:11 +0000,1fe59d87-f8a5-4b26-a91f-98666efd6db5,2021-05-30T10:10:13.116Z,2021-05-30T10:25:05.796Z,completed,completed normal,28.10312918,0.957088191,3.822095161,43.33639989,7746.472845,819.214422,788.8375061,23724752.78,976.1414026,1287.209409,764,3769576.22,131565.26,23724753.33,26226830.56,1318,2842622.83,2082,1338
API Generated 2021-05-30 08:23:14 +0000,f3be3fc6-f5cf-4f39-ad69-ff50e2174cd2,2021-05-30T09:08:25.680Z,2021-05-30T09:23:11.815Z,completed,completed normal,21.49719683,0.780604393,1.745533973,47.60064185,6357.378762,765.3921218,827.6732173,22320550,179.7641313,237.049756,759,3383242.87,134545.68,22320548.06,26189872.22,1348,2653291.51,2107,1343
API Generated 2021-05-30 09:24:11 +0000,c7b60a5a-aa03-44b5-9fa3-4d194dff28db,2021-05-30T09:40:45.439Z,2021-05-30T09:55:49.036Z,completed,completed normal,26.74586492,0.809159538,2.206645004,45.00784249,7027.424288,1335.14783,486.7603816,21582527.78,240.4454083,317.0683993,763,3373130.69,127053.44,21582530.28,26210425,1363,2571598.9,2126,1339
API Generated 2021-05-30 05:32:57 +0000,18fd5b3b-83ab-442b-8fc1-b0f302e15a3a,2021-05-30T06:17:24.079Z,2021-05-30T06:31:54.877Z,completed,completed normal,29.85368776,0.205212409,1.20388169,49.81490402,3045.377378,1388.589355,620.6494135,20650811.11,124.1610148,163.7275359,763,3071538.09,125743.31,20650813.61,26195127.78,1382,2398643.79,2145,1342
API Generated 2021-05-30 06:50:13 +0000,590a47a6-dccf-4557-993d-174d821b3c22,2021-05-30T07:06:14.726Z,2021-05-30T07:20:42.875Z,completed,completed normal,28.20416021,0.596450205,3.311646268,42.41377328,7895.060309,523.4457554,217.0599211,23065047.22,1875.752869,5338.458367,763,3300532.98,129775.49,23065047.5,26233494.44,1314,2608379.01,2077,1333
API Generated 2021-05-30 09:24:11 +0000,9ff80352-2c18-4d8e-8a4d-b85217f66be5,2021-05-30T09:53:49.601Z,2021-05-30T10:08:19.565Z,completed,completed normal,27.58093478,0.525946367,3.252850131,47.57690595,4170.210807,1246.780814,416.2986772,24776902.78,374.2252829,821.8013999,763,3797045.94,138939.95,24776904.17,26193650,1343,2889623.95,2106,1341
API Generated 2021-05-30 04:14:46 +0000,4e22d737-c842-492e-a176-97d2e8b4d26f,2021-05-30T05:02:35.532Z,2021-05-30T05:17:05.076Z,completed,completed normal,28.58862136,0.860393127,1.118216164,41.5662178,2387.533061,1221.946861,573.5308895,20017930.56,109.5510663,144.4618197,765,3052108.25,122842.13,20017931.94,26246841.67,1322,2391421.32,2087,1343
API Generated 2021-05-30 01:38:05 +0000,68f810a1-d237-4554-afa3-89fecb3862e3,2021-05-30T02:37:09.744Z,2021-05-30T02:51:33.241Z,completed,completed normal,26.0300567,0.948533781,2.492905492,45.21752723,2642.363514,1456.233848,560.2624099,22529413.89,155.6967648,205.3128164,765,3578605.96,132658.1,22529415,26202127.78,1356,2709851.48,2121,1337
API Generated 2021-05-30 05:32:57 +0000,e31a0f7d-a239-40f8-a7a5-9951cd9d607e,2021-05-30T06:31:55.016Z,2021-05-30T06:46:17.102Z,completed,completed normal,28.87939826,0.965694492,3.780407187,44.73326858,2419.493347,1332.997874,646.3047498,24225752.78,355.9497745,469.3806632,763,3923558.94,134418.18,24225755.28,26218227.78,1334,2963427.24,2097,1339
API Generated 2021-05-30 09:24:11 +0000,225e979b-092c-48f0-a637-2dc6420c1740,2021-05-30T10:08:18.082Z,2021-05-30T10:22:35.684Z,completed,completed normal,29.01971653,0.88244851,3.849785293,41.05948363,3304.922598,1434.228603,416.4286841,24310636.11,482.0537275,635.6702954,764,3919207.69,133847.25,24310636.39,26242144.44,1309,2943513.44,2073,1339
API Generated 2021-05-30 09:24:10 +0000,b2ce0cf2-f8bc-4be0-ba86-3d4369b13cd7,2021-05-30T09:24:11.978Z,2021-05-30T09:39:52.477Z,completed,completed normal,29.63080969,0.451583007,3.699707697,42.56921471,2934.227111,1619.287704,477.0702867,24162038.89,276.3597803,364.4276419,766,3922708.83,133845.82,24162040,26228222.22,1336,2959280.26,2102,1342
API Generated 2021-05-30 09:24:11 +0000,8da3fc41-b77e-43f9-b527-91c35b4e54a9,2021-05-30T10:08:19.704Z,2021-05-30T10:22:48.892Z,completed,completed normal,28.11920482,0.889266096,0.976828648,44.59941904,7708.509788,667.6088957,766.7186834,19624844.44,215.5008928,401.2456726,765,2941258.28,120595.32,19624844.17,26226269.44,1340,2323994.56,2105,1339
API Generated 2021-05-30 04:14:46 +0000,d2ceb052-a121-454e-95b7-296d3b2b32af,2021-05-30T04:31:35.564Z,2021-05-30T04:48:08.893Z,completed,completed normal,29.27998232,0.238785161,0.178648639,49.14441556,3996.404383,1476.782001,767.1208763,18484738.89,38.78799617,51.14860767,762,2774650.83,121293.79,18484739.72,26154922.22,1890,2165076.06,2652,2051
API Generated 2021-05-30 06:50:13 +0000,8b80c18f-63ee-4dd7-9161-24cf51fa86f0,2021-05-30T06:50:18.022Z,2021-05-30T07:06:45.491Z,completed,completed normal,20.53190667,0.117766463,3.025311091,42.10063754,2634.130895,1238.878049,346.8494716,23842125,857.6852064,1131.004652,765,3728472.14,140754.15,23842126.67,26227438.89,1320,2867408.95,2085,1354
API Generated 2021-05-30 08:22:59 +0000,67e6fcf7-8b52-4bd1-b050-a1e356d0a3ca,2021-05-30T09:08:18.829Z,2021-05-30T09:22:56.225Z,completed,completed normal,28.89188437,0.442653387,1.406265296,42.39170243,7849.839717,1197.457219,284.3997609,20361991.67,259.7686696,716.7698872,764,3064029.25,121518.3,20361991.39,26247730.56,1334,2418292.08,2098,1340
API Generated 2021-05-30 03:13:20 +0000,129cd4d8-f8ff-4615-aba3-fc37b3879db9,2021-05-30T03:58:13.469Z,2021-05-30T04:12:38.109Z,completed,completed normal,25.00555377,0.58382375,3.76762639,49.07163113,6510.81269,481.0242592,300.3055797,25940225,1631.371044,3785.61613,763,3694581.57,145459.3,25940225.83,26193916.67,1360,2927668.29,2123,1340
API Generated 2021-05-30 08:07:20 +0000,8ef6229f-0bf3-4b55-97f4-2e1e74493a59,2021-05-30T08:53:37.252Z,2021-05-30T09:08:38.141Z,completed,completed normal,23.44722461,0.206819397,1.00958595,46.40975241,3060.725595,971.0869957,297.8761136,20083583.33,374.005128,1106.390138,762,2961015.96,124130.86,20083583.33,26203436.11,1480,2335542.51,2242,1571
API Generated 2021-05-30 04:14:46 +0000,9160153b-d95f-4303-85ca-1530f9fcebc9,2021-05-30T05:02:13.532Z,2021-05-30T05:16:38.114Z,completed,completed normal,21.70599555,0.888813328,1.870264779,47.23076204,1596.195409,1266.545141,354.545825,22635461.11,211.7309887,380.4484236,765,3374919.52,135586.1,22635458.33,26188022.22,1362,2639235.52,2127,1344
API Generated 2021-05-30 08:07:20 +0000,e18c49dc-12f0-4aca-875a-7ba84edf77b8,2021-05-30T08:24:55.552Z,2021-05-30T08:39:12.423Z,completed,completed normal,21.00682133,0.112357015,1.413079613,43.9469942,7456.05442,538.6781169,287.4578536,20527855.56,874.2390869,1433.049947,763,3039364.87,124411.54,20527857.78,26218894.44,1413,2400498.57,2176,1447
API Generated 2021-05-30 05:32:57 +0000,6c821063-8032-4db1-aea2-950fa098b996,2021-05-30T05:49:00.842Z,2021-05-30T06:04:27.258Z,completed,completed normal,29.62342879,0.843640227,1.772070518,41.05707243,4975.877117,1433.938464,645.5565104,21305100,61.81404996,81.51239822,768,3295967.72,126164.39,21305101.11,26248752.78,1307,2564907.21,2075,1342
API Generated 2021-05-30 08:07:20 +0000,2ff23935-11c5-441c-bb47-61fa2525eb98,2021-05-30T08:52:47.721Z,2021-05-30T09:08:25.376Z,completed,completed normal,28.44557753,0.821216967,0.303383508,40.60443766,5106.236092,458.7171915,540.2035034,18453880.56,354.2135261,873.7668543,766,2680147.85,120043.49,18453880.28,26222455.56,1387,2125436.39,2153,1424
API Generated 2021-05-30 08:23:24 +0000,f942f4b4-55e3-4fd9-90c0-f57a5e7bd464,2021-05-30T09:09:06.544Z,2021-05-30T09:24:03.631Z,completed,completed normal,25.78772421,0.576298908,3.05900054,47.64504461,6287.710879,591.1261368,277.730969,24645555.56,1277.703443,4480.10938,763,3465825.65,140277.53,24645556.67,26184566.67,1354,2728353.13,2117,1344
API Generated 2021-05-30 09:39:50 +0000,de95e134-ac48-49cd-9b28-a0370d073719,2021-05-30T10:24:14.107Z,2021-05-30T10:38:29.338Z,completed,completed normal,27.03564366,0.980128603,3.774148728,45.90342484,5210.759478,907.9920095,259.8201067,23928538.89,1458.360954,2121.41898,763,3720125.44,134793.21,23928536.94,26199236.11,1342,2845806.3,2105,1341
API Generated 2021-05-30 08:07:20 +0000,dae49469-0a50-4dce-b494-4b3a39c770d1,2021-05-30T08:07:20.899Z,2021-05-30T08:23:08.821Z,completed,completed normal,24.57960189,0.672812102,1.213259947,48.9584723,6511.611,904.2015362,733.5632646,20906122.22,185.9559712,245.214756,765,3105589.44,128263.68,20906123.89,26188122.22,1347,2440485.6,2112,1337
API Generated 2021-05-30 01:38:05 +0000,be334615-6224-4035-9caa-945c8addd562,2021-05-30T01:53:29.165Z,2021-05-30T02:08:05.313Z,completed,completed normal,25.26303608,0.502679055,3.20763447,48.53203369,4170.210807,1245.519081,421.9716828,24909186.11,394.4208044,755.8694374,765,3836784.63,142059.94,24909186.94,26196602.78,1358,2922792.48,2123,1338
API Generated 2021-05-30 04:14:46 +0000,3fed2b4f-988d-4d1b-9c38-dbd9bfaf4cc9,2021-05-30T04:14:48.914Z,2021-05-30T04:31:15.365Z,completed,completed normal,27.89791095,0.958470335,2.000747461,40.79290519,4477.010277,459.9224776,398.0254941,21471680.56,620.5896104,2132.458637,764,3145395.63,126644.58,21471680.83,26238319.44,1301,2472692.66,2065,1340
API Generated 2021-05-30 09:24:11 +0000,a825e64e-7271-45d0-afd5-41bbfa40abce,2021-05-30T10:09:01.585Z,2021-05-30T10:23:14.353Z,completed,completed normal,25.50658656,0.947263945,1.531267935,44.13341673,6413.837005,1499.567908,240.8407755,20562658.33,271.3194263,544.2382498,764,3087505.87,124252.09,20562660.56,26217961.11,1345,2415072.8,2109,1337
API Generated 2021-05-30 02:57:05 +0000,ce2679a4-00b2-4cb1-916f-a087b11eeeb1,2021-05-30T03:14:12.351Z,2021-05-30T03:28:52.921Z,completed,completed normal,25.03115684,0.855188495,3.210494692,45.90994282,5979.30953,545.064217,211.4502047,23275227.78,2692.109556,5067.069691,761,3372496.5,134438.91,23275228.61,26205527.78,1348,2651310.98,2109,1336
API Generated 2021-05-30 05:32:57 +0000,a3123c4a-e821-479a-8bee-7089ba4809b7,2021-05-30T06:19:58.481Z,2021-05-30T06:35:04.392Z,completed,completed normal,22.62570011,0.491358529,0.650354797,48.60516391,1321.059564,1214.715368,312.2358106,19559258.33,184.5650478,440.4197072,765,2891260.92,124086.42,19559257.5,26191852.78,1368,2284262.26,2133,1341
API Generated 2021-05-30 09:24:11 +0000,2306fec7-1c52-418a-bf1f-261743b0eaa3,2021-05-30T10:09:25.590Z,2021-05-30T10:24:13.819Z,completed,completed normal,27.47528536,0.132982236,3.868000414,42.2914844,779.8331964,1151.317388,290.8547268,24903544.44,731.732765,2202.144033,763,3791605.94,138372.21,24903543.89,26227072.22,1327,2901683.73,2090,1340
API Generated 2021-05-30 06:50:13 +0000,d444b128-c9dd-41cc-a7a0-3166efe41d75,2021-05-30T07:21:29.967Z,2021-05-30T07:37:22.813Z,completed,completed normal,28.25981563,0.163660968,0.261063984,46.53103965,3033.83198,1469.357362,453.5647373,18527186.11,179.647201,236.8955633,767,2787753.34,118090.31,18527186.39,26181166.67,1925,2185315.2,2692,2329
API Generated 2021-05-30 01:38:05 +0000,9a26bb9b-8205-4be0-a9bf-77f9296740bb,2021-05-30T02:24:30.315Z,2021-05-30T02:39:21.547Z,completed,completed normal,20.13600229,0.129418427,2.823913891,42.74144804,5497.272853,1377.312589,431.0397075,23181166.67,1750.059951,2307.753395,763,3638822.81,137272.5,23181164.72,26228308.33,1315,2782754.48,2078,1341
API Generated 2021-05-30 08:07:20 +0000,d2047c33-372f-45ff-b7a2-b70cd2512354,2021-05-30T08:23:13.388Z,2021-05-30T08:38:27.584Z,completed,completed normal,27.23286456,0.644931049,1.708775386,41.37389081,2799.875995,806.8193098,559.2698647,21139325,224.8406736,444.2523434,764,3191510.24,126881.8,21139323.89,26236452.78,1312,2492376.13,2076,1338
API Generated 2021-05-30 08:07:20 +0000,f747b6f5-d728-4baf-979a-6ecfb2d4491b,2021-05-30T08:54:29.937Z,2021-05-30T09:09:12.752Z,completed,completed normal,29.85368776,0.400715098,1.664987824,49.38182722,3023.819592,1291.006452,706.6195026,21676561.11,111.3579015,146.844441,764,3262527.29,128735.06,21676563.33,26199930.56,1369,2538146.59,2133,1341
API Generated 2021-05-30 09:24:10 +0000,a5014ede-f9b7-478a-a848-2f94a14891e5,2021-05-30T09:24:11.401Z,2021-05-30T09:40:18.763Z,completed,completed normal,27.15996576,0.387136882,2.700588334,49.81490402,3310.889241,1546.252702,472.7640512,23793755.56,91.24685182,120.324582,765,3715544.31,136881.51,23793756.67,26200841.67,1387,2854810.75,2152,1340
API Generated 2021-05-30 01:38:05 +0000,52c0c3e2-e63e-4492-9b0d-d7bd5c0109b1,2021-05-30T01:38:08.139Z,2021-05-30T01:54:43.344Z,completed,completed normal,22.55016854,0.182933972,0.854366845,43.62366334,2252.869147,1079.926099,633.5263368,19839688.89,181.0068001,238.6884274,765,3019921.45,122831.46,19839690.83,26220491.67,1629,2350678.75,2394,1794
API Generated 2021-05-30 01:38:05 +0000,38e08f10-4d49-4ac1-96cd-6602c56822b7,2021-05-30T02:24:24.717Z,2021-05-30T02:39:19.422Z,completed,completed normal,27.92026965,0.284728085,2.832980788,47.81659316,6980.444205,1592.49263,761.6394688,24039577.78,17.79722492,23.46868529,764,3737015.73,136267.95,24039577.78,26186288.89,1361,2822490.36,2125,1338
API Generated 2021-05-30 01:53:39 +0000,cde180e7-7dc4-43b4-bf8c-867fb0a01943,2021-05-30T02:39:05.185Z,2021-05-30T02:53:44.590Z,completed,completed normal,24.34841911,0.712225737,1.118869104,41.67852789,2112.269723,1419.983178,825.2311737,20127547.22,61.77069059,81.45522148,764,3084223.86,124716.33,20127548.06,26238005.56,1357,2414522.19,2121,1342
API Generated 2021-05-30 04:14:46 +0000,51b2e7c8-cda9-4700-9c7a-2e6d9233496d,2021-05-30T04:45:46.548Z,2021-05-30T05:00:27.787Z,completed,completed normal,29.77142694,0.796354716,0.614094385,44.26288032,4658.330705,1390.299031,658.908879,19235586.11,67.56718713,89.09889366,765,2915779.63,121731.7,19235587.5,26218766.67,1345,2297787.6,2110,1342
API Generated 2021-05-30 02:57:06 +0000,f3fe3f20-eda1-4536-96e4-45802974d67b,2021-05-30T03:28:39.825Z,2021-05-30T03:43:36.311Z,completed,completed normal,20.57500197,0.971839183,1.41839007,44.94298101,2252.869147,997.734957,680.0750628,20895875,264.232027,348.4351247,764,3158010.42,128630.02,20895875.28,26212036.11,1322,2480087.03,2086,1337
