name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,chiller_resize_factor,loop_sp,storage_capacity,installed_cost_us_dollars_per_kw,installed_cost_us_dollars_per_kwh,electricity_kwh,size_kw,size_kwh,comfort_result_time_setpoint_not_met_during_occupied_heating,year_one_bill_us_dollars,water_qbft,electricity_produced_kwh,natural_gas_kwh,comfort_result_time_setpoint_not_met_during_occupied_cooling,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_hours,comfort_result_hours_out_of_comfort_bounds_PMV
API Generated 2021-05-30 09:24:11 +0000,58d980e1-5f25-42ca-803d-c81719afb3ff,2021-05-30T10:09:23.937Z,2021-05-30T10:24:04.392Z,completed,completed normal,27.04044975,0.293999162,1.410875748,47.5845415,4065.48204,518.2025039,215.5976065,21294841.67,1074.675965,5132.602365,764,2778900.76,128518.48,21294843.61,26185588.89,1360,2256462.38,2124,1341
API Generated 2021-05-30 04:14:46 +0000,9b05586e-ad66-4ba3-8840-a32cc59bed0f,2021-05-30T04:31:15.539Z,2021-05-30T04:45:46.418Z,completed,completed normal,27.1674824,0.421191984,1.321863177,40.21845148,7403.535044,1659.379353,645.6678628,20146136.11,33.38108857,44.01867515,765,3118278.22,121954.76,20146136.67,26245575,1310,2437503.74,2075,1340
API Generated 2021-05-30 08:07:20 +0000,1e18bd25-d959-4f3a-8eef-ed6bbf387a02,2021-05-30T08:38:27.745Z,2021-05-30T08:54:09.300Z,completed,completed normal,22.29629768,0.441594366,2.508347268,40.09831015,618.6802653,879.299088,826.6633127,23361080.56,487.8093645,643.2600873,761,3615849.28,138324.29,23361078.33,26236563.89,1304,2813141.22,2065,1337
API Generated 2021-05-30 05:32:57 +0000,2ce3f634-67a3-4b02-894c-65672b9fcb22,2021-05-30T05:49:20.760Z,2021-05-30T06:04:30.467Z,completed,completed normal,24.88183666,0.542124814,2.374492396,40.63017404,7168.146812,1419.983178,826.4021805,21975430.56,753.7893361,994.000176,764,3417476.1,129274.41,21975431.11,26257491.67,1322,2609326.67,2086,1335
API Generated 2021-05-30 06:50:13 +0000,f475a256-ee2c-45ec-9608-457c022733d6,2021-05-30T07:34:59.211Z,2021-05-30T07:49:24.519Z,completed,completed normal,28.00743691,0.114108038,1.248548709,45.34333627,1557.329733,1366.089648,313.1481891,20392472.22,280.0384235,521.7103033,764,3093649.14,122882.46,20392472.22,26197369.44,1712,2414927.35,2476,1868
API Generated 2021-05-30 01:38:05 +0000,0ade6bc9-9274-4455-b3e5-5b5a81fb0039,2021-05-30T02:25:18.230Z,2021-05-30T02:39:42.184Z,completed,completed normal,21.807264,0.392647503,2.337404594,40.26336181,855.8032814,1137.037687,742.2052358,22960177.78,114.2123875,150.608569,762,3614620.54,136860.15,22960179.72,26243438.89,1320,2775652.94,2082,1343
API Generated 2021-05-30 06:50:13 +0000,89c21800-be57-4e2c-9a83-e8d108808538,2021-05-30T07:23:37.005Z,2021-05-30T07:37:48.905Z,completed,completed normal,26.23825207,0.523964795,1.177663461,40.72744658,2916.246812,541.7271879,407.9820567,20129619.44,488.9276649,1502.250789,766,2934028.19,123617.03,20129620.83,26249752.78,1305,2332878.36,2071,1337
API Generated 2021-05-30 05:32:57 +0000,78922e39-f34a-488f-990c-44307a3ae3f9,2021-05-30T06:03:38.644Z,2021-05-30T06:18:18.959Z,completed,completed normal,29.15848774,0.928433744,0.961886649,46.98121913,2567.65705,1656.21161,228.9480495,20106911.11,90.16060655,144.7038683,767,3021556.71,124221.41,20106913.33,26196113.89,1314,2369097.29,2081,1337
API Generated 2021-05-30 05:32:57 +0000,64720c90-0896-4e1f-9619-733db7c56e5c,2021-05-30T06:19:10.304Z,2021-05-30T06:33:28.167Z,completed,completed normal,22.15367339,0.127330794,2.319261309,42.86147223,6887.765298,723.8598084,275.5010133,22080291.67,1744.534152,2300.466684,766,3344576.6,131544.65,22080289.17,26229272.22,1318,2608558.32,2084,1364
API Generated 2021-05-30 08:07:20 +0000,8bed86af-be0c-4909-8a08-5c73291bd935,2021-05-30T08:07:23.237Z,2021-05-30T08:23:35.602Z,completed,completed normal,23.24944952,0.774207914,0.557463005,43.34970463,4588.915169,586.0774826,812.9262334,18952741.67,164.6839546,249.3715435,765,2827287.48,120512.02,18952742.5,26222213.89,1352,2225980.74,2117,1340
