name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,year_one_energy_supplied_kw,year_one_energy_supplied_kwh,water_qbft,distributed_generation_total_solar_pv_kw,electricity_kwh,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_demand_cost_us_dollars,size_kw,year_one_energy_supplied_kwh,electricity_produced_kwh,natural_gas_kwh,year_one_bill_us_dollars,size_kwh
API Generated 2021-06-16 11:46:37 +0000,348e83cb-6365-4d87-8f50-9a66c4ed552a,2021-06-16T12:46:32.927Z,2021-06-16T13:01:02.872Z,completed,completed normal,27.3628033,0.632939038,43.71372176,33938.5142,438.9594434,423.053687,119615.47,2358.682,19533702.78,1760998.31,1329,1343,896053.11,1170.924277,17063192,19533701.11,26208019.44,2664251.43,7874.428881
API Generated 2021-06-16 11:46:36 +0000,74c28be9-4b83-4bc3-aa10-e2f21396d701,2021-06-16T11:46:38.554Z,2021-06-16T12:02:13.287Z,completed,completed normal,25.31596887,0.656209319,40.49425865,17655.01559,1404.063684,493.9041066,119412.53,1767.6302,19507469.44,1830781.03,1310,1343,1004121.79,908.454913,17482113.31,19507470.56,26235633.33,2842102.82,4988.069554
API Generated 2021-06-16 02:23:50 +0000,32836736-75cd-4c7d-aa47-c2d4e5d055c1,2021-06-16T03:11:44.751Z,2021-06-16T03:27:09.880Z,completed,completed normal,21.81689157,0.272789207,48.80695668,23849.09334,695.4702062,703.2135788,127252.67,2567.8881,20428986.11,1890237.45,1366,1339,1154477.06,840.2474798,17649152.07,20428988.33,26190294.44,3051914.51,3334.216017
API Generated 2021-06-16 14:57:38 +0000,ff78dd2f-ed8e-4fa2-99b1-9e7947789c4b,2021-06-16T15:29:50.600Z,2021-06-16T15:45:42.482Z,completed,completed normal,20.15313516,0.157207958,49.58400933,5509.731237,1662.772235,454.7522359,127451.8,2486.5227,20440269.44,1895986.29,1367,1339,1152785.37,667.4619911,17746552.84,20440270.28,26210208.33,3055971.66,4005.141812
API Generated 2021-06-16 02:23:50 +0000,d81c2af8-f669-4ec0-9cfa-5d26616bb9d4,2021-06-16T02:40:12.915Z,2021-06-16T02:55:00.820Z,completed,completed normal,26.0248091,0.925927082,43.27429367,17604.34169,1169.524442,726.1514329,119572.6,1581.8613,19527866.67,1867054.9,1333,1341,1096612.85,621.8630348,17604021.94,19527869.44,26238483.33,2970867.76,2692.582546
API Generated 2021-06-16 02:56:13 +0000,d50310aa-b0ed-4b8d-a977-787435ea62a2,2021-06-16T03:42:06.831Z,2021-06-16T03:57:40.126Z,completed,completed normal,20.2277487,0.575539805,49.75197369,9587.233319,1055.967249,782.4413742,127483.53,1857.3978,20444922.22,1973405.22,1374,1342,1239765.3,541.9364618,18257349.28,20444924.17,26184622.22,3220370.52,2074.120761
API Generated 2021-06-16 02:40:20 +0000,4d87dde8-37a5-4702-ab4d-ca20b435aa2d,2021-06-16T03:26:15.884Z,2021-06-16T03:40:25.552Z,completed,completed normal,27.87707197,0.575024973,43.11925107,20104.47924,1490.524089,780.5907076,119078.96,1581.8613,19506186.11,1866444.67,1342,1336,1138191.51,580.1168462,17577355.78,19506186.67,26235025,3011836.18,2547.040305
API Generated 2021-06-16 08:41:04 +0000,dd4ae8b5-0445-454e-b006-5b1e9b4a0b8b,2021-06-16T08:57:30.841Z,2021-06-16T09:13:25.865Z,completed,completed normal,28.72894121,0.898141184,49.65361582,15513.13828,591.1007603,684.2084169,124673.74,2483.3495,20208202.78,1877682.53,1371,1341,1149004.28,853.0011439,17506634.48,20208204.44,26190316.67,3033886.81,3464.351141
API Generated 2021-06-16 10:14:08 +0000,ae918530-8dbf-468a-a9fe-54b5fd964629,2021-06-16T10:46:17.333Z,2021-06-16T11:01:26.054Z,completed,completed normal,25.38482174,0.496199712,49.87679914,36391.38475,1659.251782,837.2155751,126313.98,1581.8613,20324647.22,1995993.08,1366,1342,1292394.06,424.0361193,18359932.23,20324646.94,26177680.56,3295587.15,1264.384408
API Generated 2021-06-16 08:41:04 +0000,4d0bf005-df65-496e-8859-688ebbeac007,2021-06-16T09:41:20.374Z,2021-06-16T09:56:21.806Z,completed,completed normal,26.74279703,0.553042829,49.90862889,38556.08474,1662.337392,837.2155751,125649,1581.8613,20272200,1991034.1,1360,1337,1292768.05,420.4895154,18307712.78,20272198.61,26184883.33,3291002.15,1275.692033
API Generated 2021-06-16 14:57:38 +0000,214f081f-abd8-4581-998c-93903607ff0d,2021-06-16T15:44:53.461Z,2021-06-16T15:59:24.239Z,completed,completed normal,24.84125092,0.729857411,40.25632553,37905.79493,1653.312858,786.765407,119767.05,1581.8613,19545838.89,1871774.3,1327,1339,1130730.85,494.5826908,17599335.64,19545840.83,26250708.33,3009705.16,1823.095427
API Generated 2021-06-16 04:04:10 +0000,e5f7cf4d-e448-404d-9b1c-390ce907afe1,2021-06-16T04:50:44.281Z,2021-06-16T05:05:58.616Z,completed,completed normal,20.26808331,0.758723084,49.5817492,15998.08155,432.0605867,231.9108189,127465.11,2839.3468,20446694.44,1810497.77,1387,1341,902957.53,1654.137045,17616113.87,20446696.39,26197686.11,2720655.3,13169.22873
