name,_id,run_start_time,run_end_time,status,status_message,chg_sp,chiller_limit,loop_sp,storage_capacity,year_one_energy_supplied_kw,year_one_energy_supplied_kwh,water_qbft,distributed_generation_total_solar_pv_kw,electricity_kwh,year_one_energy_cost_us_dollars,comfort_result_time_setpoint_not_met_during_occupied_cooling,comfort_result_hours_out_of_comfort_bounds_PMV,year_one_demand_cost_us_dollars,size_kw,year_one_energy_supplied_kwh,electricity_produced_kwh,natural_gas_kwh,year_one_bill_us_dollars,size_kwh
API Generated 2021-06-16 10:14:08 +0000,585d6bcb-8938-4ea7-bf65-d9ab8831db12,2021-06-16T10:14:09.012Z,2021-06-16T10:29:38.982Z,completed,completed normal,24.36183617,0.119780627,41.56271664,5777.99409,598.1376122,204.8631042,120940.46,2154.7973,19761236.11,1806752.39,1475,1598,926838.6,1439.105942,17505220.6,19761233.33,26237600,2740790.99,10864.78669
API Generated 2021-06-16 14:57:38 +0000,493aca28-80dc-4fd2-8dcf-7b9fffcf07f6,2021-06-16T14:57:41.706Z,2021-06-16T15:13:29.379Z,completed,completed normal,20.29056544,0.170358483,40.3843682,14234.1402,1661.195164,823.6521335,120651.77,1581.8613,19659386.11,1881497.25,1329,1340,1163172.69,553.1659927,17720773.57,19659386.67,26248855.56,3051869.94,2167.804487
API Generated 2021-06-16 07:08:56 +0000,c84a323a-9748-45f8-aed7-7cf1a436f216,2021-06-16T07:40:32.172Z,2021-06-16T07:55:12.326Z,completed,completed normal,25.95356017,0.990525262,41.52604644,34843.6661,481.3155374,216.0742358,119403.43,1762.4758,19500052.78,1796306,1315,1340,838149.77,1537.667694,17597201.29,19500054.44,26237044.44,2641655.78,11486.48295
API Generated 2021-06-16 00:49:35 +0000,40c42a1a-f563-4796-9bf2-80b9dc7087f9,2021-06-16T00:51:14.756Z,2021-06-16T01:07:04.930Z,completed,completed normal,21.84089308,0.245161809,44.73513324,20712.60934,897.3905153,366.5560927,121554.62,1730.1195,19721175,1844489.53,1346,1339,913397.28,1135.606632,17809432.58,19721175.56,26215288.89,2765086.81,8245.3047
API Generated 2021-06-16 00:49:35 +0000,c5e7b733-3cf4-43a9-8b39-209cd1b54486,2021-06-16T01:07:11.844Z,2021-06-16T01:22:27.600Z,completed,completed normal,21.06200365,0.155053824,43.17096992,5090.175975,856.6488483,277.1594209,122189.58,2226.0283,19887380.56,1820030.62,1505,1592,976855.71,1221.875177,17557137.88,19887380.56,26223566.67,2804086.33,9799.3498
API Generated 2021-06-16 10:14:08 +0000,b247afb5-ee78-4a1a-9147-e6385ebf0acb,2021-06-16T11:01:33.427Z,2021-06-16T11:16:29.831Z,completed,completed normal,29.47371386,0.195545054,42.73187349,36971.36442,614.2396166,249.5017225,121450.77,2122.5285,19972552.78,1822026.36,1447,1484,922324.28,1370.404301,17739470.18,19972555,26244750,2751550.64,10756.25994
API Generated 2021-06-16 00:49:35 +0000,419f040d-f3e4-4281-9362-9deab3cdb350,2021-06-16T01:07:05.073Z,2021-06-16T01:23:42.647Z,completed,completed normal,20.38331492,0.921837006,41.26472501,15699.23034,1137.914559,403.8111922,120702.24,1884.6037,19633219.44,1820804.56,1324,1343,936951.04,1109.081664,17563533.91,19633219.17,26237105.56,2764955.6,7110.295817
API Generated 2021-06-16 14:57:38 +0000,34523676-0568-49cc-bedf-406984da060a,2021-06-16T14:57:38.874Z,2021-06-16T15:14:39.267Z,completed,completed normal,26.82742335,0.993100021,48.9796163,33038.3872,1660.3869,833.4273016,125569.37,1581.8613,20278980.56,1993577.58,1350,1342,1295106.97,362.0074791,18308270.03,20278980,26197108.33,3295884.55,1003.268512
API Generated 2021-06-16 17:07:36 +0000,6bfb22c5-6abb-44da-ab6f-10ab18e9692f,2021-06-16T17:56:43.858Z,2021-06-16T18:12:18.040Z,completed,completed normal,20.06750815,0.322594397,47.73750457,29777.4877,1652.496439,206.2431651,127439.73,3347.0669,20468252.78,1777445.33,1330,1336,965674.78,1178.781381,17164034.53,20468253.33,26190394.44,2750320.11,10108.52335
API Generated 2021-06-16 04:04:10 +0000,9cf358e1-1682-4993-8458-4edd57416e06,2021-06-16T04:04:14.384Z,2021-06-16T04:20:24.397Z,completed,completed normal,25.50805397,0.300972315,41.30955236,37842.25827,620.2591447,304.4329071,119547.17,2200.8426,19506361.11,1764030.87,1330,1342,855833.42,1376.628295,17195270.98,19506363.61,26239513.89,2627064.3,9444.018408
API Generated 2021-06-16 07:08:56 +0000,49b466ac-8a6a-47a5-9eae-1ee45c99e216,2021-06-16T08:08:45.645Z,2021-06-16T08:22:52.268Z,completed,completed normal,26.18462035,0.508857168,41.14492731,32574.11228,1636.429087,739.8075811,119272.15,1581.8613,19498961.11,1865076.03,1309,1343,1113254.55,552.1743819,17563015.17,19498958.89,26238494.44,2985530.57,2200.32
API Generated 2021-06-16 00:49:35 +0000,9a28346a-877f-4542-8c09-5f5a7c211795,2021-06-16T00:51:15.680Z,2021-06-16T01:06:59.375Z,completed,completed normal,27.87707197,0.55865835,42.63263522,20104.47924,1490.524089,805.057504,118974.14,1581.8613,19498091.67,1867129.53,1357,1335,1140719.12,538.4776543,17562493.65,19498091.94,26232169.44,3015048.66,2261.040385
API Generated 2021-06-16 10:46:02 +0000,6201fd5e-ed74-42bc-bfb8-e23aa6eefff5,2021-06-16T11:31:13.788Z,2021-06-16T11:45:58.902Z,completed,completed normal,25.63191296,0.20444787,42.87045869,7472.845686,1061.432647,531.9545953,120496.66,2048.5308,19656455.56,1815040.4,1386,1428,1018704.71,1159.299343,17442632.02,19656456.11,26225213.89,2840945.11,7404.625858
API Generated 2021-06-16 13:19:44 +0000,50dc6b65-386c-4bb5-9fcf-fc02971b6cf1,2021-06-16T13:19:47.446Z,2021-06-16T13:36:01.519Z,completed,completed normal,22.40186368,0.821867728,47.85397399,11195.33552,1215.521099,824.7229894,127132.97,1581.8613,20432688.89,2003553.16,1345,1340,1272158.56,463.1541053,18477029.71,20432690,26187988.89,3282911.72,1641.842677
API Generated 2021-06-16 10:14:08 +0000,e4a79aa4-a349-4695-8f8a-12c6a5aa8e65,2021-06-16T10:30:25.121Z,2021-06-16T10:45:39.622Z,completed,completed normal,26.40327042,0.892778714,42.20322107,33975.78678,647.3752642,231.5564176,119263.22,1755.5795,19489575,1798619.27,1314,1334,850102.35,1445.474356,17587608.4,19489575.28,26236394.44,2655921.62,10851.88896
API Generated 2021-06-16 13:19:44 +0000,1793e732-2ae1-4e64-baa6-7b23314302e3,2021-06-16T14:09:25.729Z,2021-06-16T14:24:07.026Z,completed,completed normal,20.06004053,0.495455247,46.75075186,7561.778934,1007.897357,832.6051848,126241.94,1596.3145,20249863.89,1974727.72,1345,1341,1216824.5,528.0504435,18289638.99,20249864.17,26203675,3198752.22,1910.854346
API Generated 2021-06-16 12:02:51 +0000,2b09d7e5-0e0d-4267-ac4e-52c0ccf4b9db,2021-06-16T12:48:49.774Z,2021-06-16T13:03:46.382Z,completed,completed normal,25.09790016,0.326015024,47.77732575,21116.28957,426.5143707,205.8635831,126194.97,2798.3574,20357008.33,1793941.74,1377,1339,871062.18,1914.921594,17583780.77,20357009.17,26196661.11,2672203.92,15150.91002
API Generated 2021-06-16 05:53:18 +0000,3a2079a4-673c-4cf4-8e87-a55fc99b8dfb,2021-06-16T06:38:00.188Z,2021-06-16T06:52:55.598Z,completed,completed normal,29.03316778,0.146494639,47.4089636,14221.82534,1141.404646,639.2674328,124608.76,2097.3672,20233391.67,1924119.7,1354,1341,1195196.57,592.2619709,17855463.92,20233394.17,26184611.11,3126516.28,2895.227132
API Generated 2021-06-16 13:36:09 +0000,c26926b7-51f1-47b8-a94e-e6f89a562b15,2021-06-16T14:24:41.361Z,2021-06-16T14:38:49.529Z,completed,completed normal,26.77966896,0.578196463,41.18214427,33109.59756,1659.354487,836.4594925,119111.21,1581.8613,19475377.78,1865902.4,1319,1341,1139254.91,474.8995447,17524661.31,19475380,26247666.67,3012357.3,1669.764176
API Generated 2021-06-16 04:04:10 +0000,e1303188-e929-47da-8f2c-fb5f1e658926,2021-06-16T04:04:12.046Z,2021-06-16T04:20:23.389Z,completed,completed normal,29.50132335,0.129927998,44.38701455,33541.60756,1008.595701,554.6545694,121090.65,2183.5455,19953094.44,1841414.94,1483,1571,1050126.62,889.4362711,17565552.36,19953093.06,26217163.89,2898741.56,5135.696525
API Generated 2021-06-16 06:08:06 +0000,191e97f7-3c64-4922-8eec-e12479309821,2021-06-16T06:52:55.745Z,2021-06-16T07:07:54.800Z,completed,completed normal,26.41451527,0.176436693,46.44550884,29823.04797,1232.634471,829.8757197,121259.87,1581.8613,19678186.11,1892750.54,1359,1341,1124971.83,546.4400122,17734767.38,19678186.39,26194441.67,3024922.37,1974.501743
API Generated 2021-06-16 01:22:35 +0000,ec66e3e2-baf5-4527-b6af-96cdc0202e1b,2021-06-16T02:07:19.253Z,2021-06-16T02:22:33.780Z,completed,completed normal,21.81689157,0.230908545,48.80695668,21663.52788,651.0042928,703.2135788,127263.67,2567.8884,20429755.56,1890301.56,1367,1338,1154969.88,840.1646695,17649788.59,20429757.78,26184280.56,3052471.44,3334.216862
API Generated 2021-06-16 02:23:50 +0000,524c81c0-4127-4306-8e8d-03f0254d8029,2021-06-16T02:55:34.789Z,2021-06-16T03:10:33.656Z,completed,completed normal,28.5000903,0.911497259,48.17023311,21408.93238,1490.524089,797.3136418,124880.56,1581.8613,20234333.33,1987307.29,1337,1340,1278789.59,376.1503029,18271563.21,20234330.56,26199555.56,3273296.88,1345.125576
API Generated 2021-06-16 07:08:56 +0000,5c9476eb-4883-4d3d-9539-aff5dba9f363,2021-06-16T07:25:32.036Z,2021-06-16T07:41:03.785Z,completed,completed normal,20.23987463,0.719077689,49.72448402,37075.74358,422.1351939,258.3575183,127498.67,3007.2128,20446530.56,1798839.79,1374,1340,908542.73,1560.269737,17459111.64,20446532.78,26188386.11,2714582.52,12344.8952
API Generated 2021-06-16 07:08:56 +0000,308af0c9-fc3d-4aaa-b7d0-59a311ba6e2e,2021-06-16T07:41:07.218Z,2021-06-16T07:56:27.922Z,completed,completed normal,28.51362595,0.983492722,49.90862889,39351.86775,1656.712336,643.3634627,124886.65,1868.7973,20218038.89,1951260.3,1368,1342,1243090.09,525.3357706,18020199.64,20218039.17,26185072.22,3201550.39,2057.066289
API Generated 2021-06-16 09:13:32 +0000,db6e1b0f-149d-40e2-a4db-b20e2cbcc544,2021-06-16T09:59:11.090Z,2021-06-16T10:14:00.604Z,completed,completed normal,29.56609464,0.407018424,41.5618431,39200.90662,656.7748271,222.6940018,122132.29,1883.8041,19966411.11,1844702.61,1321,1343,906694.1,1351.445358,17943800.01,19966410.56,26240616.67,2758596.71,10692.67123
API Generated 2021-06-16 17:10:17 +0000,baabd002-adf1-475c-ab3b-361b3e420f60,2021-06-16T18:00:03.057Z,2021-06-16T18:14:02.247Z,completed,completed normal,25.40889295,0.424365329,47.31190982,16672.34137,417.9454149,209.8087127,126227.32,2712.6085,20349913.89,1803314.36,1348,1341,879815.88,1876.887727,17650463.02,20349911.94,26198144.44,2690330.25,14849.98507
API Generated 2021-06-16 02:23:50 +0000,c6d4d4eb-0034-4206-a5a8-670dc06d11fe,2021-06-16T02:40:37.762Z,2021-06-16T02:56:22.783Z,completed,completed normal,20.56447007,0.524750815,49.89682025,27119.08334,528.6409136,364.1385028,127390.33,3648.4384,20434205.56,1743862.03,1381,1339,922246.15,1436.410379,16855596.86,20434207.78,26203200,2673308.18,9873.337629
API Generated 2021-06-16 10:14:08 +0000,820046ba-6495-43c0-8f52-fbea109644e1,2021-06-16T11:00:42.258Z,2021-06-16T11:15:14.601Z,completed,completed normal,29.33911819,0.108658595,42.95489322,26173.0409,1266.326185,384.6076751,120404.01,2238.6441,19868050,1809533.32,1469,1561,978295.12,1117.251531,17497031.08,19868052.78,26228072.22,2795028.44,7937.034229
API Generated 2021-06-16 11:46:37 +0000,146ae5b7-6d70-4b76-a1c5-2aa14c3f6ec6,2021-06-16T11:46:41.283Z,2021-06-16T12:03:28.431Z,completed,completed normal,20.19369533,0.288653909,49.8469499,8186.808868,867.6867849,794.7274755,127463.99,1965.1511,20440925,1960450.64,1372,1339,1219736.89,666.9504244,18163873.03,20440923.89,26197777.78,3187387.53,2259.824712
API Generated 2021-06-16 00:49:35 +0000,4fe49d47-3a81-44eb-b4a9-e487030f9515,2021-06-16T01:22:36.340Z,2021-06-16T01:37:55.910Z,completed,completed normal,23.41131874,0.952277895,44.21329466,22805.74217,1483.526875,769.1535345,121305.2,1581.8613,19702583.33,1894200.75,1344,1340,1153382.31,490.3587817,17756827.67,19702585.83,26220536.11,3054783.07,1890.390938
API Generated 2021-06-16 14:57:38 +0000,0ce2a7ae-d4ce-482e-ab4c-1a88bfbfaa57,2021-06-16T15:29:50.560Z,2021-06-16T15:44:53.316Z,completed,completed normal,20.09810024,0.48826962,47.47454269,6407.770776,1403.945791,834.7579845,127371.31,1581.8613,20469169.44,2007920.44,1354,1341,1275817.83,444.6874417,18509125.53,20469170,26195158.33,3290938.27,1471.028511
API Generated 2021-06-16 10:31:48 +0000,166ad1cf-f670-457b-96d0-2da906113e10,2021-06-16T11:29:06.286Z,2021-06-16T11:43:18.841Z,completed,completed normal,20.30505643,0.710099867,40.29430281,38008.43403,423.1673004,232.4492662,120635,1951.2935,19644138.89,1789636.91,1304,1342,821837.07,1689.480213,17580449.62,19644140.28,26259455.56,2618673.98,12062.59879
API Generated 2021-06-16 07:08:56 +0000,1a690545-8ec4-4f07-9884-7138c1c65a12,2021-06-16T07:25:04.679Z,2021-06-16T07:40:32.035Z,completed,completed normal,29.46469568,0.220738914,49.82625855,36222.68299,1489.691526,791.9063536,124667.47,1581.8613,20224169.44,1985774.52,1372,1343,1281423.35,442.2121615,18262801.84,20224170.28,26185202.78,3274397.87,1410.574618
API Generated 2021-06-16 14:57:38 +0000,378c4cbe-658f-4fe2-91f0-15046624ed02,2021-06-16T15:14:09.969Z,2021-06-16T15:29:50.425Z,completed,completed normal,20.12233002,0.178340582,48.69258717,6989.239912,1665.892987,823.1609228,127499.82,1598.1887,20457369.44,2008008.07,1371,1339,1315752.6,369.6042845,18472691.84,20457371.94,26203261.11,3330960.67,1042.220035
API Generated 2021-06-16 07:25:31 +0000,7465c7b6-3fe8-4c0b-be4d-ca0b07e4f512,2021-06-16T08:10:54.205Z,2021-06-16T08:25:50.692Z,completed,completed normal,27.18204881,0.503618466,40.72068438,37748.53398,1577.057743,805.6834066,119095.23,1581.8613,19462741.67,1862698.98,1322,1342,1117905.81,531.6213225,17519909.2,19462743.33,26254461.11,2987804.8,1951.817035
API Generated 2021-06-16 07:39:39 +0000,4ce02bef-b0a8-4835-b393-130de6673210,2021-06-16T08:24:17.286Z,2021-06-16T08:38:56.484Z,completed,completed normal,20.64821706,0.380969936,49.84369811,6155.886021,444.9197571,405.2998213,127409.71,3714.4155,20436730.56,1740111.34,1366,1340,933910.01,1408.640636,16790823.82,20436732.78,26196280.56,2681221.35,9161.150276
API Generated 2021-06-16 05:54:48 +0000,b7f5fb1e-385e-4a6e-be27-972e1abaa526,2021-06-16T06:39:45.814Z,2021-06-16T06:54:08.087Z,completed,completed normal,29.35797753,0.290525776,44.27010552,36356.03781,425.3029475,470.2579383,121263.77,2360.1075,19895088.89,1800954.36,1385,1391,934821.45,1290.241594,17423574.14,19895091.11,26228666.67,2742975.81,8072.449207
API Generated 2021-06-16 10:14:08 +0000,634f91cf-2bbf-4a1a-b8cf-fb4a32dc2c10,2021-06-16T10:14:10.807Z,2021-06-16T10:30:44.018Z,completed,completed normal,27.30904869,0.718886028,49.90862889,33894.15227,1654.768388,837.2155751,125384.65,1581.8613,20254088.89,1991354.67,1396,1341,1308339.1,367.6246803,18282888.74,20254091.39,26191247.22,3306893.77,995.0816236
API Generated 2021-06-16 02:40:14 +0000,c3e937e5-e4f4-41f2-93ee-2e443f38374e,2021-06-16T03:25:53.136Z,2021-06-16T03:40:03.888Z,completed,completed normal,27.87707197,0.534741145,42.63263522,20104.47924,1322.879952,809.1983535,118994.12,1581.8613,19497175,1865387.67,1320,1334,1122457.91,577.3068441,17569629.67,19497177.22,26237030.56,2995045.58,2543.843175
API Generated 2021-06-16 04:34:33 +0000,d11765d6-fcbe-4a07-9c96-960f561432ba,2021-06-16T05:19:14.777Z,2021-06-16T05:33:24.691Z,completed,completed normal,28.71647416,0.28624533,42.38882857,27735.5223,1657.966639,832.6927205,119347.59,1581.8613,19626855.56,1882012.3,1352,1366,1170651.23,530.1653768,17689534.51,19626855.83,26228400,3059863.53,2200.975612
API Generated 2021-06-16 04:04:10 +0000,6d933b54-0e48-4c22-8611-619bc2de8ed3,2021-06-16T04:19:37.971Z,2021-06-16T04:34:24.149Z,completed,completed normal,27.38493218,0.133816158,44.20790628,10586.08205,455.6614087,674.0504353,119150.71,1806.1261,19553369.44,1825456.96,1367,1404,995030.96,1163.613733,17543555.98,19553368.33,26219247.22,2827687.92,6925.973087
API Generated 2021-06-16 01:07:32 +0000,deea7e34-3254-4d16-ac92-d4a1c5a11e4a,2021-06-16T02:04:57.531Z,2021-06-16T02:19:28.080Z,completed,completed normal,26.48302267,0.266117802,46.45977984,8325.938971,1548.39116,564.7897939,123430.53,1581.8613,19896475,1910458.04,1383,1367,1113392.47,848.6194487,18031008.45,19896473.33,26211138.89,3031050.51,5123.555839
API Generated 2021-06-16 10:14:08 +0000,93dc20ec-b260-4dbc-91ce-c06586fecb2e,2021-06-16T10:45:39.770Z,2021-06-16T11:00:42.129Z,completed,completed normal,20.18930811,0.936335074,47.74105102,9158.25877,1177.174723,831.4373319,127463.69,1756.0274,20465177.78,1986937.65,1356,1343,1268331.88,497.9496848,18360918.65,20465180.28,26190775,3262469.52,1859.218281
API Generated 2021-06-16 10:14:08 +0000,508507c5-d278-4565-a362-795f6db34ea0,2021-06-16T10:14:12.884Z,2021-06-16T10:31:24.257Z,completed,completed normal,24.04780038,0.252182771,41.01101396,36903.84973,612.8544908,224.8320997,119984.84,1811.2414,19555269.44,1798152.35,1304,1342,838342.41,1539.495814,17609430.6,19555271.94,26255108.33,2643694.76,11428.5822
API Generated 2021-06-16 15:14:18 +0000,677f9131-a140-4581-97d6-d7ac25fb3a74,2021-06-16T16:00:18.798Z,2021-06-16T16:15:50.189Z,completed,completed normal,26.72997495,0.121847148,45.82706755,29042.47281,1335.643152,327.5837002,119393.2,1897.6939,19524519.44,1800749.09,1325,1345,896859.69,1185.970765,17468559.59,19524520.83,26213161.11,2704808.78,8439.024307
API Generated 2021-06-16 05:54:43 +0000,da726052-2ad5-4b7a-8887-5a2c77220926,2021-06-16T06:39:29.716Z,2021-06-16T06:54:00.868Z,completed,completed normal,27.99890857,0.153646861,42.03069002,5982.357079,1141.404646,545.142313,120011.46,2303.683,19676763.89,1802767.11,1422,1532,1041937.01,1017.264233,17214295.12,19676762.78,26243919.44,2851904.12,6342.762224
API Generated 2021-06-16 12:18:40 +0000,12f4e54e-ae3d-4e6b-8281-31cfce1461af,2021-06-16T13:04:21.277Z,2021-06-16T13:19:36.543Z,completed,completed normal,20.05929418,0.936335074,47.18929648,15311.5908,1292.061765,825.2161807,127565.14,1581.8613,20479880.56,2008639.09,1353,1343,1269091.85,453.375032,18521845.02,20479881.94,26195583.33,3284930.94,1538.572457
API Generated 2021-06-16 04:04:10 +0000,60a5b4d3-bc1b-49b0-84bf-68eb6377612d,2021-06-16T04:34:24.276Z,2021-06-16T04:48:35.608Z,completed,completed normal,27.47304666,0.636475779,43.03559741,25118.44393,1625.87122,210.4008116,119036.07,1744.6403,19480561.11,1809842.86,1332,1339,924043.14,1109.630971,17562441.58,19480561.94,26232916.67,2741086,8800.482148
API Generated 2021-06-16 04:04:10 +0000,fcbf3c82-6b72-4677-95fd-a4c11c71a127,2021-06-16T04:49:52.799Z,2021-06-16T05:04:19.834Z,completed,completed normal,20.0366303,0.518062472,40.34511383,16471.23736,1240.608385,444.0287302,120539.3,1746.6295,19637122.22,1843249.66,1317,1340,998584.22,906.4298199,17642171.71,19637123.89,26243561.11,2849033.88,5408.341561
API Generated 2021-06-16 00:49:35 +0000,1da4e25d-e70a-4a74-b690-d21022cad000,2021-06-16T00:51:16.606Z,2021-06-16T01:07:10.357Z,completed,completed normal,20.02209154,0.643872919,40.3885223,27304.45936,1451.073471,239.0489749,120683.81,1581.8613,19647141.67,1844737.66,1303,1343,925454.47,1114.599379,17869590.98,19647141.67,26249883.33,2777392.13,8562.032257
API Generated 2021-06-16 04:20:59 +0000,288fa452-2616-466d-a686-c30ea01bd6f3,2021-06-16T05:06:27.123Z,2021-06-16T05:21:51.500Z,completed,completed normal,20.14160482,0.336020289,49.84398546,7184.778699,462.2700267,396.3542301,127512.65,3668.4596,20442127.78,1744887.92,1386,1341,933206.99,1410.039756,16838151,20442126.67,26207288.89,2685294.91,9285.27495
API Generated 2021-06-16 08:41:04 +0000,8ef2724f-7874-4b04-9d9d-f5acb9002f17,2021-06-16T09:13:09.680Z,2021-06-16T09:27:43.523Z,completed,completed normal,24.04298353,0.544076173,42.87045869,14994.48073,1520.637204,474.1573586,120073.2,1782.5129,19560750,1836274.45,1320,1336,1013765.75,881.2689875,17520097.83,19560752.78,26234519.44,2857240.2,4920.233592
API Generated 2021-06-16 08:57:49 +0000,3389980f-52ce-44ba-81f7-ad8f8159eddd,2021-06-16T09:55:37.493Z,2021-06-16T10:10:27.350Z,completed,completed normal,20.25723153,0.395217033,49.60379729,10924.78552,1571.008479,837.1150949,127466.77,1581.8613,20445083.33,2007635.49,1388,1335,1294552.66,401.7864698,18478214.91,20445080.83,26197091.67,3309388.16,1179.012822
API Generated 2021-06-16 07:08:56 +0000,aa17e454-9553-45fd-9af5-34d8eae26bbe,2021-06-16T07:41:07.459Z,2021-06-16T07:56:16.607Z,completed,completed normal,29.92528842,0.363031072,40.85034124,27940.80942,1669.542799,705.3626733,122993.1,1581.8613,20078080.56,1939051.06,1360,1375,1217278.46,471.34147,18134121.51,20078080,26252975,3163529.53,1987.796134
API Generated 2021-06-16 05:37:03 +0000,ef74d702-529d-4c9a-bae5-c4465d2d6ed4,2021-06-16T06:09:06.762Z,2021-06-16T06:24:08.310Z,completed,completed normal,20.04336405,0.583194629,49.57314949,17874.99671,425.96003,367.935149,127489.78,3592.4942,20447922.22,1751416.69,1374,1339,929404.9,1431.119184,16915168.19,20447924.44,26202877.78,2688021.6,9617.308998
API Generated 2021-06-16 00:49:35 +0000,c04cf0ca-652e-4dcc-a5bc-a0a65f96f102,2021-06-16T01:47:49.110Z,2021-06-16T02:02:08.912Z,completed,completed normal,22.26097225,0.319212813,47.28104737,23120.63543,1220.087251,639.7634307,127213.81,2215.3161,20444113.89,1931926.64,1354,1340,1192890.02,583.7776594,17960746.4,20444114.44,26193930.56,3132016.66,2822.32083
API Generated 2021-06-16 09:11:52 +0000,b398d0ee-0f54-41fb-a5c9-c7dde63f6dcd,2021-06-16T09:56:21.961Z,2021-06-16T10:11:20.640Z,completed,completed normal,22.67020528,0.982073324,49.56818543,38506.01559,430.214138,250.0070877,126997.77,2973.1265,20400061.11,1797208.58,1395,1337,906530.05,1570.592161,17445749.02,20400062.22,26193955.56,2710938.63,12523.77104
API Generated 2021-06-16 00:49:35 +0000,0ddf42ab-eb5b-4700-85c4-354f84f0382d,2021-06-16T01:07:06.769Z,2021-06-16T01:23:17.327Z,completed,completed normal,20.62234343,0.861892431,42.28096572,9167.162697,1428.953599,781.6449292,121277.09,1581.8613,19707222.22,1889744.29,1304,1341,1151898.77,574.3729173,17784208.51,19707221.11,26230150,3048843.07,2770.621218
API Generated 2021-06-16 14:57:38 +0000,620d89cd-dd07-4bc7-9ac1-323b71a58949,2021-06-16T15:13:18.587Z,2021-06-16T15:27:27.485Z,completed,completed normal,25.17826621,0.738159615,42.87045869,11124.29012,1639.103916,820.3063554,119872.03,1581.8613,19548700,1878885.51,1327,1343,1200954.11,429.2035076,17593022.78,19548701.11,26233963.89,3087039.62,1554.436754
API Generated 2021-06-16 08:57:28 +0000,a5139001-928e-445d-85e6-15fa7512fcda,2021-06-16T09:42:50.167Z,2021-06-16T09:57:42.729Z,completed,completed normal,20.03134319,0.741877326,49.89785689,10409.42756,423.2314464,347.7901895,127502.78,3569.8676,20443719.44,1752702.52,1358,1336,925718.5,1438.555873,16933688.39,20443721.94,26195636.11,2685621.02,9851.018316
API Generated 2021-06-16 07:08:56 +0000,2c3905c4-8dd7-41a4-9572-26b62dd1cb59,2021-06-16T07:54:07.128Z,2021-06-16T08:08:45.493Z,completed,completed normal,23.95913657,0.76297992,42.2315385,12844.13745,1530.625348,407.7636681,120027.87,1581.8613,19570122.22,1850536.79,1336,1343,997872.04,932.8700933,17742962.48,19570121.39,26236425,2855608.83,6348.715755
API Generated 2021-06-16 02:56:28 +0000,b3da2330-0d4e-4d0b-8dfe-dd152c79ab9b,2021-06-16T03:42:44.033Z,2021-06-16T04:04:02.422Z,completed,completed normal,22.06043371,0.759700598,49.84433028,21403.80932,517.5273922,366.5000259,127250.96,3674.3349,20421916.67,1741522.73,1366,1338,928482.41,1425.909023,16815727.16,20421916.67,26195002.78,2677205.14,9482.772469
API Generated 2021-06-16 15:27:35 +0000,6764c4a2-b8d6-45e2-9a3f-9d90d61b279d,2021-06-16T16:14:23.555Z,2021-06-16T16:28:31.859Z,completed,completed normal,25.43637654,0.983760196,43.69929517,33109.59756,1629.50387,835.0235987,120131.16,1581.8613,19575780.56,1881824.16,1348,1339,1170567.76,429.605703,17615574.81,19575779.17,26216580.56,3059591.92,1349.364744
API Generated 2021-06-16 16:35:52 +0000,58f520be-8f7f-4ce5-ac47-0b583922ef2b,2021-06-16T16:35:53.963Z,2021-06-16T16:52:36.375Z,completed,completed normal,28.46912669,0.979628908,49.42443915,15593.73148,419.9885645,819.2367327,124831.77,2306.0588,20222616.67,1900648.66,1361,1337,1173729.83,788.2104496,17664173.33,20222615,26200369.44,3081578.49,2961.095246
API Generated 2021-06-16 08:41:04 +0000,21874b86-a5ea-4040-aa5a-8f3fb037ac13,2021-06-16T08:57:51.804Z,2021-06-16T09:13:05.588Z,completed,completed normal,24.45812303,0.76300083,43.7792571,10164.54402,1639.82514,451.8976685,120621.24,1810.7864,19632408.33,1845369.41,1355,1338,1043679.89,794.427449,17571016.77,19632410.83,26221419.44,2896249.3,5098.95662
API Generated 2021-06-16 00:49:35 +0000,848eef0e-82ee-4d08-b1a0-e410e8e741bb,2021-06-16T00:51:15.620Z,2021-06-16T01:07:11.702Z,completed,completed normal,28.05497723,0.865834283,40.14771505,18146.91704,958.9083337,203.6428049,119328.77,1581.8613,19529144.44,1827962.72,1308,1341,900086.21,1264.376614,17779084.6,19529145,26239755.56,2735248.93,10322.31697
API Generated 2021-06-16 16:35:53 +0000,66587120-4e18-4f78-9c52-20c31cfe763e,2021-06-16T16:55:24.805Z,2021-06-16T17:10:09.420Z,completed,completed normal,26.85519785,0.991570432,40.89901975,35292.31901,1639.956796,832.0795235,119035.95,1581.8613,19454736.11,1863205.7,1312,1339,1134028.43,486.0471937,17506195.41,19454738.33,26242727.78,3004434.13,1754.943353
API Generated 2021-06-16 15:29:56 +0000,29ba21b2-1cd3-4d22-b665-007764b9ca41,2021-06-16T16:15:50.355Z,2021-06-16T16:35:32.132Z,completed,completed normal,29.59611848,0.126669261,44.56815712,5547.44714,1230.957959,208.1714891,121086.39,2355.6813,19952558.33,1816060.78,1560,1685,960168.1,1181.671707,17499012.12,19952559.17,26223258.33,2783428.88,9435.245349
